URL,title,dauer,CBA_topic,CBA_tags,OAS_tags,station,editors
https://cba.fro.at/522477,Interview Martin Hagmayr,03:03,Gesellschaft,"72 Stunden, Caritas, KJOOE",,Freies Radio B138,Julian Ehrenreich
https://cba.fro.at/351425,R(h)eingehört: Symposium Irak,06:04,Gesellschaft,"Asyl, Irak, Symposium, Vindex",,Proton – das freie Radio,Ruth Kanamüller
https://cba.fro.at/396450,Say it loud Konferenz 1.+2.März 2019 Radioankündigung (1:33min),01:33,Politik,"Asyl, Gegen Rassismus, Grüne Bildungswerkstatt Wien, Information, Konferenz, Plattform für eine menschliche Asylpolitik, Protest, Schwarzblau, Tagung, transnationalen Aktionstag Migrant_innenstreik, UN-Aktionstages gegen Rassismus, Widerstand",,Orange 94.0,Jutta Matysek
https://cba.fro.at/427561,"EMRAWI – Emanzipatorisch, Radikal, Widerständig",04:58,Gesellschaft,"Aktivismus, Emanzipation, emrawi, Feminismus, Onlineplattform, Vernetzung, Widerstand",,Radio Helsinki,"Bola, Evarcha Culicivora, Portia"
https://cba.fro.at/441902,"DO5, die neuen Identitären, zum ersten Mal in Graz",04:37,Politik,"DO5, Graz, Hetze, Identitäre, Islam, Islamisches Kulturzentrum Graz, Patriotismus, Rassismus, Rechtsextermismus, Zip-Alpin",,Radio Helsinki,VON UNTEN-Redaktion
https://cba.fro.at/336502,Ziviler Ungehorsam,03:09,Politik > Widerstand,"Murkraftwerk Graz Puntigam, selbstermächtigung, Ungehorsam, Zip-Alpin, ziviler ungehorsam",,Radio Helsinki,Sylvia Blaser
https://cba.fro.at/1162,Hobbykick,03:25,Medien > Medien Unterhaltung,Fußball,,Radiofabrik,"Alex Naringbauer, Anita Hammer, Astrid Hickmann, Carla Stenitzer, Georg Karl, Georg Wimmer (Leitung), Romana Stücklschweiger"
https://cba.fro.at/522657,Amazonas auf der Kippe,05:00,Wissenschaft > Ökologie,"Amazonas, Kipppunkt, Klima, Klimawandel, Regenwald, Rodung",,Orange 94.0,"5mcc-Team, Hannah Hofbauer"
https://cba.fro.at/399160,UNS REICHTS – Demaufruf – In Steyr donnerts am Samstag!,01:03,Gesellschaft > Soziales,"Demo Steyr, Kundgebung Steyr, uns reichts",,Freies Radio B138,Johanna Duscher
https://cba.fro.at/355069,Interview mit Maria Hofstätter zu Marie Jahoda,03:42,Gesellschaft,"Jahoda, Soziologie",,Radio FRO 105.0,"Christian Diabl, Maria Hofstätter"
https://cba.fro.at/519154,Herbert Dutzler über das Ausseerland,03:18,Kultur > Literatur,"Aussee, Literatur",,Herbert Dutzler über das Ausseerland,Erich Weidinger
https://cba.fro.at/519063,Diese Dating Mythen glauben Menschen und geben sie späteren Generationen weiter! Jetzt ist der Moment mit einigen davon aufzuhören!,04:58,Gesellschaft,"Beziehung, bumble, Caroline Hehenberger, dating, Dating Mythen, Feminismus, flirten, Gen Z, generation z, Gleichberechtigung, Jugend, Junge Generation, Kennenlernen, Online Dating, Tinder",,Radio Helsinki,Thomas Paier
https://cba.fro.at/508160,Beitrag: “Die europäische Minute – Juli21”,03:36,Politik,"Datenbank für Arzneimittel, Desinformation, EU, Europa, Europäisches Parlament, Frozine, Meeresschutzgebiet Antarktis, Ratspräsidentschaft Slowenien",,Radio FRO 105.0,
https://cba.fro.at/371672,Kurzbeitrag FROzine: Gefärbte Eier gehören zu Ostern,01:58,Wirtschaft,"Geflügelwirtschaft, Martin Mayringer, Ostereier färben",,Radio FRO 105.0,Michael Diesenreither
https://cba.fro.at/500796,Crossing Europe 2021 – Trailer,01:17,Kultur,"Crossing Europe 2021, Film Festival Linz, KIno für die Ohren 2021, trailer",,,Dorota Trepczyk
https://cba.fro.at/497615,Österreichs schönste Radfernwege. 20 Touren,01:20,Gesellschaft,Buchbesprechung; Styria Verlag,,Radio FRO 105.0,Daniela Banglmayr
https://cba.fro.at/495188,Raum für Bürger*innenbeteiligung,04:45,Gesellschaft,"Bürgerbeteiligung, FreiRaum Wels",,Radio FRO 105.0,Marina Wetzlmaier
https://cba.fro.at/494078,Versammlungs- und Demonstrationsfreiheit gesichert,02:21,Gesellschaft,"Demonstrationsfreiheit, Linz gegen Rechts, OGH, Versammlungsrecht",,Radio FRO 105.0,Margit Happerger
https://cba.fro.at/479820,Ein Winter in Attersee,01:26,Kultur > Literatur,"Attersee, Elisabeth Hollerweger, Erzählung, Geschichten, Langeweile, Neustift, Weihnachten, Winter",,Radio FRO 105.0,
https://cba.fro.at/467964,"Karim Rihan will, dass die Black Communities mehr Ressourcen zur Bekämpfung von Rassismus bekommen",02:04,Politik,"Afröwahl, anti-rassismus, Karim Rihan, NEOS, Partizipation, Rassismus, wien wahlen",,Orange 94.0,
